slug,display_name,country,region,timezone,currency,lat,lng
beer_sheva,Be'er Sheva,Israel,Med,Asia/Jerusalem,ILS,31.2530,34.7915
herzliya,Herzliya,Israel,Med,Asia/Jerusalem,ILS,32.1624,34.8447
holon,Holon,Israel,Med,Asia/Jerusalem,ILS,32.0158,34.7874
akko,Akko (Acre),Israel,Med,Asia/Jerusalem,ILS,32.9281,35.0819
eilat,Eilat,Israel,Med,Asia/Jerusalem,ILS,29.5581,34.9482
ramat_gan,Ramat Gan,Israel,Med,Asia/Jerusalem,ILS,32.0684,34.8248
rishon_lezion,Rishon LeZion,Israel,Med,Asia/Jerusalem,ILS,31.9730,34.7925
nazareth,Nazareth,Israel,Med,Asia/Jerusalem,ILS,32.7021,35.2978
